Brendan Burns (@brendandburns),Christoph Blecker (@cblecker),Derek Carr (@derekwaynecarr),Pengfei Ni (@feiskyer),Stephen Augustus (@justaugustus),Kris Nova (@kris-nova),Klaus Ma (@k82cn),Lachlan Evenson (@lachie83),Nikhita Raghunath (@nikhita),Paris Pittman (@parispittman),Vallery Lancey (@vllry)
11,11,11,11,3,1,11,4,2,5,11
4,3,9,10,5,11,7,2,6,1,8
3,9,8,7,11,2,4,10,5,1,6
1,3,2,10,4,8,11,7,6,9,5
4,11,11,11,6,5,11,2,1,3,11
11,3,5,11,11,11,11,6,2,1,4
2,11,11,1,11,11,11,11,11,11,11
10,2,No opinion,No opinion,9,11,No opinion,3,4,5,1
2,6,8,3,7,9,10,1,5,4,11
3,2,1,No opinion,5,No opinion,No opinion,No opinion,4,6,No opinion
3,7,5,1,2,8,4,9,11,6,10
1,No opinion,No opinion,4,No opinion,No opinion,2,No opinion,3,No opinion,No opinion
11,5,10,10,4,3,10,10,1,2,10
8,6,11,9,1,2,10,4,5,7,3
11,11,11,2,11,11,1,11,11,11,11
6,10,11,9,5,4,7,8,1,2,3
1,3,4,11,3,2,11,4,2,3,11
4,2,8,7,10,9,1,3,6,5,11
11,1,11,11,6,11,3,5,4,2,11
9,3,2,8,6,10,11,5,4,1,7
3,8,7,11,5,1,10,9,2,4,6
1,3,2,11,8,5,11,6,7,4,11
11,3,11,5,1,11,No opinion,2,3,3,4
3,11,11,11,11,11,11,11,1,2,11
11,2,8,11,11,11,11,11,2,1,11
11,3,2,11,11,10,9,10,9,1,8
11,4,1,5,10,8,6,7,3,9,2
6,5,6,1,6,6,2,4,3,6,6
11,4,9,6,3,10,9,9,2,1,5
11,11,11,11,11,11,1,11,11,11,11
3,11,3,1,11,11,2,11,11,11,11
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion
3,2,1,11,11,11,11,6,4,5,11
4,8,1,6,5,11,9,2,10,3,7
11,4,1,11,11,5,11,11,11,2,3
3,8,1,9,4,2,11,10,7,5,6
11,2,1,5,11,3,11,11,11,11,4
3,2,1,5,4,11,11,5,11,4,11
11,5,3,8,6,6,4,8,2,1,8
11,11,11,11,11,11,1,11,11,11,11
2,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,4,3
11,6,5,9,7,5,8,10,2,1,3
6,8,7,9,4,2,10,5,1,11,3
2,3,5,10,9,11,6,4,1,7,8
4,2,1,8,7,10,5,9,3,6,11
7,11,3,6,11,11,1,11,2,11,11
11,7,10,8,2,6,9,5,3,1,4
5,10,1,10,4,11,6,3,10,2,10
4,11,3,11,11,11,5,11,2,1,11
1,5,11,9,6,4,10,7,2,3,8
11,4,6,3,10,7,9,8,2,1,5
No opinion,No opinion,5,3,2,No opinion,4,1,No opinion,No opinion,No opinion
No opinion,No opinion,No opinion,No opinion,2,1,No opinion,No opinion,3,4,5
No opinion,2,No opinion,No opinion,3,No opinion,No opinion,No opinion,4,1,No opinion
3,11,11,11,11,1,11,2,11,11,11
3,2,1,9,11,9,9,6,5,4,10
4,2,1,No opinion,9,7,10,11,3,6,8
4,3,1,11,11,11,2,11,11,11,11
4,11,1,11,11,11,11,3,2,11,11
11,3,11,11,2,11,11,4,11,1,11
2,No opinion,1,3,4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,5,2,3,7,8,4,9,6,1,10
9,1,5,7,4,10,3,11,2,8,6
11,2,1,11,11,4,11,11,11,3,11
1,11,11,11,11,11,11,11,11,11,11
2,11,11,11,11,6,11,5,3,1,4
No opinion,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,2,1,No opinion
7,3,1,10,4,9,8,11,5,8,6
11,5,4,10,3,8,7,9,2,1,6
4,3,7,6,5,1,10,8,9,11,2
11,5,10,9,7,2,4,8,1,6,3
4,4,4,2,4,4,1,4,4,4,3
11,2,4,10,7,9,10,5,3,1,6
8,9,7,11,1,4,10,5,6,2,3
5,6,No opinion,No opinion,3,7,No opinion,4,2,1,No opinion
2,10,5,11,4,3,9,6,8,1,7
3,No opinion,No opinion,No opinion,6,5,No opinion,7,1,2,4
No opinion,No opinion,1,No opinion,3,2,No opinion,No opinion,3,No opinion,No opinion
10,6,7,8,1,4,5,3,2,9,11
4,1,5,10,7,11,2,9,3,8,6
5,6,11,8,4,10,1,7,3,9,2
4,2,1,11,11,11,11,11,11,3,11
1,6,No opinion,11,4,7,No opinion,3,2,No opinion,5
11,10,3,6,9,4,8,7,2,1,5
11,1,11,11,3,11,11,4,11,2,11
11,4,2,No opinion,No opinion,7,No opinion,5,3,1,6
3,8,1,2,10,11,8,8,9,8,8
6,4,2,10,11,8,9,7,5,1,3
2,7,3,No opinion,4,9,No opinion,6,1,8,5
3,2,1,11,4,No opinion,5,No opinion,11,No opinion,11
5,4,No opinion,No opinion,6,7,No opinion,No opinion,3,2,1
1,1,11,11,11,11,11,1,11,1,11
10,5,1,8,7,2,6,3,9,4,11
2,5,4,10,9,8,11,6,7,1,3
7,8,10,1,2,6,11,9,3,4,5
3,11,2,11,11,11,1,11,11,11,11
7,2,1,11,5,11,11,4,3,11,6
2,2,1,11,11,11,11,11,2,11,11
4,1,1,No opinion,4,No opinion,No opinion,10,2,11,3
11,1,5,8,9,10,4,6,3,2,7
1,No opinion,7,No opinion,3,4,9,8,5,2,6
4,1,3,5,6,2,11,11,11,11,11
10,7,3,6,2,11,9,8,5,1,4
2,4,1,9,11,10,8,5,6,3,7
1,3,11,1,11,11,11,11,11,4,11
11,1,2,11,3,11,11,11,11,11,11
2,7,3,6,1,9,8,10,4,5,11
